route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
15728,2,2583454,TO RIVERVIEW TC,1,62161,100748,1
15728,1,2583371,TO RIVERVIEW TC,1,62176,100748,1
15728,3,2583519,TO RIVERVIEW TC,1,62168,100748,1
15728,3,2583525,TO RIVERVIEW TC,1,62166,100748,1
15728,3,2583522,TO RIVERVIEW TC,1,62165,100748,1
15728,1,2583335,TO RIVERVIEW TC,1,62168,100747,1
15728,2,2583467,TO RIVERVIEW TC,1,62165,100748,1
15728,2,2583464,TO RIVERVIEW TC,1,62166,100748,1
15728,1,2583393,TO RIVERVIEW TC,1,62162,100748,1
15728,1,2583357,TO RIVERVIEW TC,1,62164,100748,1
15728,2,2583442,TO RIVERVIEW TC,1,62169,100747,1
15728,1,2583349,TO RIVERVIEW TC,1,62174,100747,1
15728,1,2583363,TO RIVERVIEW TC,1,62174,100748,1
15728,3,2583550,TO RIVERVIEW TC,1,62171,100748,1
15728,1,2583389,TO RIVERVIEW TC,1,62165,100748,1
15728,3,2583520,TO RIVERVIEW TC,1,62167,100748,1
15753,3,2587692,TO LOUGHBOROUGH COMMONS,0,65527,100818,1
15753,1,2587322,TO LOUGHBOROUGH COMMONS,0,65534,100818,1
15753,1,2587306,TO LOUGHBOROUGH COMMONS,0,65522,100818,1
15753,2,2587521,TO LOUGHBOROUGH COMMONS,0,65525,100818,1
15753,2,2587481,TO LOUGHBOROUGH COMMONS,0,65528,100818,1
15753,2,2587504,TO LOUGHBOROUGH COMMONS,0,65522,100818,1
15753,2,2587501,TO LOUGHBOROUGH COMMONS,0,65526,100818,1
15753,1,2587308,TO LOUGHBOROUGH COMMONS,0,65525,100818,1
15753,1,2587257,TO LOUGHBOROUGH COMMONS,0,65524,100818,1
15753,2,2587495,TO LOUGHBOROUGH COMMONS,0,65526,100818,1
15753,3,2587676,TO LOUGHBOROUGH COMMONS,0,65527,100818,1
15753,3,2587693,TO LOUGHBOROUGH COMMONS,0,65523,100818,1
15753,2,2587528,TO LOUGHBOROUGH COMMONS,0,65523,100818,1
15753,1,2587323,TO LOUGHBOROUGH COMMONS,0,65536,100818,1
15753,1,2587285,TO LOUGHBOROUGH COMMONS,0,65530,100818,1
15753,1,2587279,TO LOUGHBOROUGH COMMONS,0,65530,100818,1
15753,2,2587532,TO LOUGHBOROUGH COMMONS,0,65526,100818,1
15753,2,2587529,TO LOUGHBOROUGH COMMONS,0,65531,100818,1
15753,2,2587527,TO LOUGHBOROUGH COMMONS,0,65530,100818,1
15753,2,2587507,TO LOUGHBOROUGH COMMONS,0,65527,100818,1
15753,2,2587560,TO BROADWAY TAYLOR TC,1,65525,100819,1
15753,3,2587755,TO BROADWAY TAYLOR TC,1,65525,100819,1
15753,3,2587751,TO BROADWAY TAYLOR TC,1,65527,100819,1
15753,1,2587413,TO BROADWAY TAYLOR TC,1,65526,100819,1
15753,1,2587374,TO BROADWAY TAYLOR TC,1,65526,100819,1
15753,1,2587430,TO BROADWAY TAYLOR TC,1,65532,100819,1
15753,1,2587390,TO BROADWAY TAYLOR TC,1,65523,100819,1
15753,1,2587375,TO BROADWAY TAYLOR TC,1,65527,100819,1
15753,1,2587368,TO BROADWAY TAYLOR TC,1,65533,100819,1
15753,1,2587429,TO BROADWAY TAYLOR TC,1,65537,100819,1
15753,2,2587593,TO BROADWAY TAYLOR TC,1,65523,100819,1
15753,3,2587734,TO BROADWAY TAYLOR TC,1,65528,100819,1
15753,3,2587709,TO BROADWAY TAYLOR TC,1,65530,100819,1
15753,1,2587457,TO BROADWAY TAYLOR TC,1,65528,100819,1
15778,1,2591948,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69321,100926,1
15778,1,2591930,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69321,100926,1
15778,2,2592004,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA,1,69334,100923,1
15778,3,2592088,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69321,100924,1
15778,1,2591941,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69324,100926,1
15778,3,2592073,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69328,100924,1
15778,2,2592031,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69321,100926,1
15778,1,2591942,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69325,100926,1
15778,3,2592082,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69322,100924,1
15778,2,2592011,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69322,100926,1
15778,3,2592072,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,1,69326,100924,1
15723,1,2582335,TO CENTRAL WEST END TC,1,62153,100728,1
15723,2,2582389,TO CENTRAL WEST END TC,1,6273,100728,1
15723,3,2582431,TO CENTRAL WEST END TC,1,62154,100728,1
15724,1,2582449,TO TELEGRAPH & BAUMGARTNER VIA VETS HOSP,0,6293,100730,1
15724,2,2582524,TO TELEGRAPH & BAUMGARTNER VIA VETS HOSP,0,6293,100730,1
15738,1,2584847,TO DE PAUL HOSP,1,65275,100772,1
15738,1,2584848,TO DE PAUL HOSP,1,65304,100772,1
15738,1,2584823,TO DE PAUL HOSP,1,65301,100772,1
15738,1,2584821,TO DE PAUL HOSP,1,65301,100772,1
15738,3,2585031,TO DE PAUL HOSP,1,65276,100772,1
15739,1,2585039,TO RIVERVIEW TC,0,65326,100773,1
15739,3,2585160,TO RIVERVIEW TC,0,65321,100773,1
15739,1,2585054,TO RIVERVIEW TC,0,65323,100773,1
15739,2,2585133,TO CIVIC CENTER TC,1,65662,100775,1
15739,2,2585132,TO CIVIC CENTER TC,1,65321,100775,1
15739,1,2585095,TO CIVIC CENTER TC,1,65324,100775,1
15739,1,2585093,TO CIVIC CENTER TC,1,65322,100775,1
15739,2,2585146,TO CIVIC CENTER TC,1,65664,100775,1
15739,1,2585102,TO CIVIC CENTER TC,1,65323,100775,1
15739,1,2585079,TO CIVIC CENTER TC,1,65326,100775,1
15739,1,2585091,TO CIVIC CENTER TC,1,65323,100775,1
15740,3,2585322,TO CIVIC CENTER TC,0,65345,100777,1
15740,2,2585275,TO CIVIC CENTER TC,0,65344,100777,1
15754,1,2587819,TO ST FERDINAND & WASHINGTON,1,65561,100824,1
15754,3,2587849,TO ST FERDINAND & WASHINGTON,1,65562,100824,1
15754,2,2587832,TO ST FERDINAND & WASHINGTON,1,65561,100824,1
15755,1,2587879,TO SO COUNTY MALL,0,62571,100825,1
15755,3,2588083,TO SO COUNTY MALL,0,62581,100825,1
15776,2,2591627,ALTA SITA TO 66TH & CLARITA VIA BOND AVE,0,69196,100911,1
15776,2,2591626,ALTA SITA TO 66TH & CLARITA VIA BOND AVE,0,69195,100911,1
15776,1,2591559,ALTA SITA TO 66TH & CLARITA VIA BOND AVE,0,69193,100911,1
15776,2,2591629,ALTA SITA TO 66TH & CLARITA VIA BOND AVE,0,69196,100911,1
15776,3,2591703,ALTA SITA TO 66TH & CLARITA VIA BOND AVE,0,69193,100911,1
15776,2,2591681,ALTA SITA TO 50TH & BOND ONLY,1,69196,100912,1
15776,1,2591581,ALTA SITA,1,69191,100913,1
15776,1,2591563,ALTA SITA,1,69192,100913,1
15776,3,2591732,ALTA SITA,1,69193,100913,1
15776,2,2591665,ALTA SITA,1,69194,100913,1
15776,2,2591657,ALTA SITA,1,69195,100913,1
15776,2,2591653,ALTA SITA,1,69195,100913,1
15776,2,2591651,ALTA SITA,1,69196,100913,1
15721,3,2582142,TO CIVIC CENTER TC,0,6544,100717,1
15721,2,2582082,TO CIVIC CENTER TC,0,6543,100717,1
15721,1,2581994,TO CIVIC CENTER TC,0,6543,100717,1
15721,3,2582176,TO NORTH HANLEY  TC,1,6542,100719,1
15721,3,2582193,TO NORTH HANLEY  TC,1,6544,100719,1
15721,2,2582113,TO NORTH HANLEY  TC,1,6543,100719,1
15721,3,2582167,TO NORTH HANLEY  TC,1,6541,100719,1
15721,2,2582127,TO NORTH HANLEY  TC,1,6544,100719,1
15721,2,2582122,TO NORTH HANLEY  TC,1,6541,100719,1
15740,1,2585235,TO RIVERVIEW TC,1,65341,100778,1
15740,1,2585229,TO RIVERVIEW TC,1,65344,100778,1
15740,2,2585297,TO RIVERVIEW TC,1,65343,100778,1
15740,3,2585341,TO RIVERVIEW TC,1,65345,100778,1
15740,2,2585286,TO RIVERVIEW TC,1,65346,100778,1
15740,2,2585289,TO RIVERVIEW TC,1,65342,100778,1
15740,1,2585241,TO RIVERVIEW TC,1,65344,100778,1
15740,2,2585293,TO RIVERVIEW TC,1,65342,100778,1
15740,1,2585249,TO RIVERVIEW TC,1,65344,100778,1
15740,3,2585342,TO RIVERVIEW TC,1,65346,100778,1
15755,1,2587970,TO CIVIC CENTER TC,1,62583,100827,1
15755,1,2587951,TO CIVIC CENTER TC,1,62579,100827,1
15755,1,2587982,TO CIVIC CENTER TC,1,62583,100827,1
15755,2,2588062,TO CIVIC CENTER TC,1,62576,100827,1
15755,1,2587957,TO CIVIC CENTER TC,1,62574,100827,1
15755,3,2588123,TO CIVIC CENTER TC,1,62582,100827,1
15755,2,2588065,TO CIVIC CENTER TC,1,62584,100827,1
